PLL Rx Low Band:
Fout=864.00 (A=000, B=135)
Fout=885.90 (A=027, B=138)
Fout=886.00 (A=028, B=138)
Fout=886.10 (A=029, B=138)
Fout=886.20 (A=030, B=138)
Fout=886.30 (A=031, B=138)
Fout=886.40 (A=032, B=138)
Fout=886.50 (A=033, B=138)
Fout=886.60 (A=034, B=138)
Fout=886.70 (A=035, B=138)
Fout=886.80 (A=036, B=138)
Fout=886.90 (A=037, B=138)
Fout=887.00 (A=038, B=138)
Fout=887.10 (A=039, B=138)
Fout=887.20 (A=040, B=138)
Fout=887.30 (A=041, B=138)
Fout=887.40 (A=042, B=138)
Fout=887.50 (A=043, B=138)
Fout=887.60 (A=044, B=138)
Fout=887.70 (A=045, B=138)
Fout=887.80 (A=046, B=138)
Fout=887.90 (A=047, B=138)
Fout=888.00 (A=048, B=138)
Fout=888.10 (A=049, B=138)
Fout=888.20 (A=050, B=138)
Fout=888.30 (A=051, B=138)
Fout=888.40 (A=052, B=138)
Fout=888.50 (A=053, B=138)
Fout=888.60 (A=054, B=138)
Fout=888.70 (A=055, B=138)
Fout=888.80 (A=056, B=138)
Fout=888.90 (A=057, B=138)
Fout=889.00 (A=058, B=138)
Fout=889.10 (A=059, B=138)
Fout=889.20 (A=060, B=138)
Fout=889.30 (A=061, B=138)
Fout=889.40 (A=062, B=138)
Fout=889.60 (A=000, B=139)
Fout=889.70 (A=001, B=139)
Fout=889.80 (A=002, B=139)
Fout=889.90 (A=003, B=139)
Fout=890.00 (A=004, B=139)
Fout=890.10 (A=005, B=139)
Fout=890.20 (A=006, B=139)
Fout=890.30 (A=007, B=139)
Fout=890.40 (A=008, B=139)
Fout=890.50 (A=009, B=139)
Fout=890.60 (A=010, B=139)
Fout=890.70 (A=011, B=139)
Fout=890.80 (A=012, B=139)
Fout=890.90 (A=013, B=139)
Fout=891.00 (A=014, B=139)
Fout=891.10 (A=015, B=139)
Fout=891.20 (A=016, B=139)
Fout=891.30 (A=017, B=139)
Fout=891.40 (A=018, B=139)
Fout=891.50 (A=019, B=139)
Fout=891.60 (A=020, B=139)
Fout=891.70 (A=021, B=139)
Fout=891.80 (A=022, B=139)
Fout=891.90 (A=023, B=139)
Fout=892.00 (A=024, B=139)
Fout=892.10 (A=025, B=139)
Fout=892.20 (A=026, B=139)
Fout=892.30 (A=027, B=139)
Fout=892.40 (A=028, B=139)
Fout=892.50 (A=029, B=139)
Fout=892.60 (A=030, B=139)
Fout=892.70 (A=031, B=139)
Fout=892.80 (A=032, B=139)
Fout=892.90 (A=033, B=139)
Fout=893.00 (A=034, B=139)
Fout=893.10 (A=035, B=139)
Fout=893.20 (A=036, B=139)
Fout=893.30 (A=037, B=139)
Fout=893.40 (A=038, B=139)
Fout=893.50 (A=039, B=139)
Fout=893.60 (A=040, B=139)
Fout=893.70 (A=041, B=139)
Fout=893.80 (A=042, B=139)
Fout=893.90 (A=043, B=139)
Fout=894.00 (A=044, B=139)
Fout=894.10 (A=045, B=139)
Fout=894.20 (A=046, B=139)
Fout=894.30 (A=047, B=139)
Fout=894.40 (A=048, B=139)
Fout=894.50 (A=049, B=139)
Fout=894.60 (A=050, B=139)
Fout=894.70 (A=051, B=139)
Fout=894.80 (A=052, B=139)
Fout=894.90 (A=053, B=139)
Fout=895.00 (A=054, B=139)
Fout=895.10 (A=055, B=139)
Fout=895.20 (A=056, B=139)
Fout=895.30 (A=057, B=139)
Fout=895.40 (A=058, B=139)
Fout=895.50 (A=059, B=139)
Fout=895.60 (A=060, B=139)
Fout=895.70 (A=061, B=139)
Fout=895.80 (A=062, B=139)
Fout=896.00 (A=000, B=140)
Fout=896.10 (A=001, B=140)
Fout=896.20 (A=002, B=140)
Fout=896.30 (A=003, B=140)
Fout=896.40 (A=004, B=140)
Fout=896.50 (A=005, B=140)
Fout=896.60 (A=006, B=140)
Fout=896.70 (A=007, B=140)
Fout=896.80 (A=008, B=140)
Fout=896.90 (A=009, B=140)
Fout=897.00 (A=010, B=140)
Fout=897.10 (A=011, B=140)
Fout=897.20 (A=012, B=140)
Fout=897.30 (A=013, B=140)
Fout=897.40 (A=014, B=140)
Fout=897.50 (A=015, B=140)
Fout=897.60 (A=016, B=140)
Fout=897.70 (A=017, B=140)
Fout=897.80 (A=018, B=140)
Fout=897.90 (A=019, B=140)
Fout=898.00 (A=020, B=140)
Fout=898.10 (A=021, B=140)
Fout=898.20 (A=022, B=140)
Fout=898.30 (A=023, B=140)
Fout=898.40 (A=024, B=140)
Fout=898.50 (A=025, B=140)
Fout=898.60 (A=026, B=140)
Fout=898.70 (A=027, B=140)
Fout=898.80 (A=028, B=140)
Fout=898.90 (A=029, B=140)
Fout=899.00 (A=030, B=140)
Fout=899.10 (A=031, B=140)
Fout=899.20 (A=032, B=140)
Fout=899.30 (A=033, B=140)
Fout=899.40 (A=034, B=140)
Fout=899.50 (A=035, B=140)
Fout=899.60 (A=036, B=140)
Fout=899.70 (A=037, B=140)
Fout=899.80 (A=038, B=140)
Fout=899.90 (A=039, B=140)
Fout=900.00 (A=040, B=140)
Fout=900.10 (A=041, B=140)
Fout=900.20 (A=042, B=140)
Fout=900.30 (A=043, B=140)
Fout=900.40 (A=044, B=140)
Fout=900.50 (A=045, B=140)
Fout=900.60 (A=046, B=140)
Fout=900.70 (A=047, B=140)
Fout=900.80 (A=048, B=140)
Fout=900.90 (A=049, B=140)
Fout=901.00 (A=050, B=140)
Fout=901.10 (A=051, B=140)
Fout=901.20 (A=052, B=140)
Fout=901.30 (A=053, B=140)
Fout=901.40 (A=054, B=140)
Fout=901.50 (A=055, B=140)
Fout=901.60 (A=056, B=140)
Fout=901.70 (A=057, B=140)
Fout=901.80 (A=058, B=140)
Fout=901.90 (A=059, B=140)
Fout=902.00 (A=060, B=140)
Fout=902.10 (A=061, B=140)
Fout=902.20 (A=062, B=140)
Fout=902.40 (A=000, B=141)
Fout=902.50 (A=001, B=141)
Fout=902.60 (A=002, B=141)
Fout=902.70 (A=003, B=141)
Fout=902.80 (A=004, B=141)
Fout=902.90 (A=005, B=141)
Fout=903.00 (A=006, B=141)
Fout=903.10 (A=007, B=141)
Fout=903.20 (A=008, B=141)
Fout=903.30 (A=009, B=141)
Fout=903.40 (A=010, B=141)
Fout=903.50 (A=011, B=141)
Fout=903.60 (A=012, B=141)
Fout=903.70 (A=013, B=141)
Fout=903.80 (A=014, B=141)
Fout=903.90 (A=015, B=141)
Fout=904.00 (A=016, B=141)
Fout=904.10 (A=017, B=141)
Fout=904.20 (A=018, B=141)
Fout=904.30 (A=019, B=141)
Fout=904.40 (A=020, B=141)
Fout=904.50 (A=021, B=141)
Fout=904.60 (A=022, B=141)
Fout=904.70 (A=023, B=141)
Fout=904.80 (A=024, B=141)
Fout=904.90 (A=025, B=141)
Fout=905.00 (A=026, B=141)
Fout=905.10 (A=027, B=141)
Fout=905.20 (A=028, B=141)
Fout=905.30 (A=029, B=141)
Fout=905.40 (A=030, B=141)
Fout=905.50 (A=031, B=141)
Fout=905.60 (A=032, B=141)
Fout=905.70 (A=033, B=141)
Fout=905.80 (A=034, B=141)
Fout=905.90 (A=035, B=141)
Fout=906.00 (A=036, B=141)
Fout=906.10 (A=037, B=141)
Fout=906.20 (A=038, B=141)
Fout=906.30 (A=039, B=141)
Fout=906.40 (A=040, B=141)
Fout=906.50 (A=041, B=141)
Fout=906.60 (A=042, B=141)
Fout=906.70 (A=043, B=141)
Fout=906.80 (A=044, B=141)
Fout=906.90 (A=045, B=141)
Fout=907.00 (A=046, B=141)
Fout=907.10 (A=047, B=141)
Fout=907.20 (A=048, B=141)
Fout=907.30 (A=049, B=141)
Fout=907.40 (A=050, B=141)
Fout=907.50 (A=051, B=141)
Fout=907.60 (A=052, B=141)
Fout=907.70 (A=053, B=141)
Fout=907.80 (A=054, B=141)
Fout=907.90 (A=055, B=141)
Fout=908.00 (A=056, B=141)
Fout=908.10 (A=057, B=141)
Fout=908.20 (A=058, B=141)
Fout=908.30 (A=059, B=141)
Fout=908.40 (A=060, B=141)
Fout=908.50 (A=061, B=141)
Fout=908.60 (A=062, B=141)
Fout=908.80 (A=000, B=142)
Fout=908.90 (A=001, B=142)
Fout=909.00 (A=002, B=142)
Fout=909.10 (A=003, B=142)
Fout=909.20 (A=004, B=142)
Fout=909.30 (A=005, B=142)
Fout=909.40 (A=006, B=142)
Fout=909.50 (A=007, B=142)
Fout=909.60 (A=008, B=142)
Fout=909.70 (A=009, B=142)
Fout=909.80 (A=010, B=142)
Fout=909.90 (A=011, B=142)
Fout=910.00 (A=012, B=142)
Fout=910.10 (A=013, B=142)
Fout=910.20 (A=014, B=142)
Fout=910.30 (A=015, B=142)
Fout=910.40 (A=016, B=142)
Fout=910.50 (A=017, B=142)
Fout=910.60 (A=018, B=142)
Fout=910.70 (A=019, B=142)
Fout=910.80 (A=020, B=142)
Fout=910.90 (A=021, B=142)
Fout=911.00 (A=022, B=142)
Fout=911.10 (A=023, B=142)
Fout=911.20 (A=024, B=142)
Fout=911.30 (A=025, B=142)
Fout=911.40 (A=026, B=142)
Fout=911.50 (A=027, B=142)
Fout=911.60 (A=028, B=142)
Fout=911.70 (A=029, B=142)
Fout=911.80 (A=030, B=142)
Fout=911.90 (A=031, B=142)
Fout=912.00 (A=032, B=142)
Fout=912.10 (A=033, B=142)
Fout=912.20 (A=034, B=142)
Fout=912.30 (A=035, B=142)
Fout=912.40 (A=036, B=142)
Fout=912.50 (A=037, B=142)
Fout=912.60 (A=038, B=142)
Fout=912.70 (A=039, B=142)
Fout=912.80 (A=040, B=142)
Fout=912.90 (A=041, B=142)
Fout=913.00 (A=042, B=142)
Fout=913.10 (A=043, B=142)
Fout=913.20 (A=044, B=142)
Fout=913.30 (A=045, B=142)
Fout=913.40 (A=046, B=142)
Fout=913.50 (A=047, B=142)
Fout=913.60 (A=048, B=142)
Fout=913.70 (A=049, B=142)
Fout=913.80 (A=050, B=142)
Fout=913.90 (A=051, B=142)
Fout=914.00 (A=052, B=142)
Fout=914.10 (A=053, B=142)
Fout=914.20 (A=054, B=142)
Fout=914.30 (A=055, B=142)
Fout=914.40 (A=056, B=142)
Fout=914.50 (A=057, B=142)
Fout=914.60 (A=058, B=142)
Fout=914.70 (A=059, B=142)
Fout=914.80 (A=060, B=142)
Fout=914.90 (A=061, B=142)
Fout=915.00 (A=062, B=142)
Fout=915.20 (A=000, B=143)
Fout=915.30 (A=001, B=143)
Fout=915.40 (A=002, B=143)
Fout=915.50 (A=003, B=143)
Fout=915.60 (A=004, B=143)
Fout=915.70 (A=005, B=143)
Fout=915.80 (A=006, B=143)
Fout=915.90 (A=007, B=143)
Fout=916.00 (A=008, B=143)
Fout=916.10 (A=009, B=143)
Fout=916.20 (A=010, B=143)
Fout=916.30 (A=011, B=143)
Fout=916.40 (A=012, B=143)
Fout=916.50 (A=013, B=143)
Fout=916.60 (A=014, B=143)
Fout=916.70 (A=015, B=143)
Fout=916.80 (A=016, B=143)
Fout=916.90 (A=017, B=143)
Fout=917.00 (A=018, B=143)
Fout=917.10 (A=019, B=143)
Fout=917.20 (A=020, B=143)
Fout=917.30 (A=021, B=143)
Fout=917.40 (A=022, B=143)
Fout=917.50 (A=023, B=143)
Fout=917.60 (A=024, B=143)
Fout=917.70 (A=025, B=143)
Fout=917.80 (A=026, B=143)
Fout=917.90 (A=027, B=143)
Fout=918.00 (A=028, B=143)
Fout=918.10 (A=029, B=143)
Fout=918.20 (A=030, B=143)
Fout=918.30 (A=031, B=143)
Fout=918.40 (A=032, B=143)
Fout=918.50 (A=033, B=143)
Fout=918.60 (A=034, B=143)
Fout=918.70 (A=035, B=143)
Fout=918.80 (A=036, B=143)
Fout=918.90 (A=037, B=143)
Fout=919.00 (A=038, B=143)
Fout=919.10 (A=039, B=143)
Fout=919.20 (A=040, B=143)
Fout=919.30 (A=041, B=143)
Fout=919.40 (A=042, B=143)
Fout=919.50 (A=043, B=143)
Fout=919.60 (A=044, B=143)
Fout=919.70 (A=045, B=143)
Fout=919.80 (A=046, B=143)
Fout=919.90 (A=047, B=143)
Fout=920.00 (A=048, B=143)
Fout=920.10 (A=049, B=143)
Fout=920.20 (A=050, B=143)
Fout=920.30 (A=051, B=143)
Fout=920.40 (A=052, B=143)
Fout=920.50 (A=053, B=143)
Fout=920.60 (A=054, B=143)
Fout=920.70 (A=055, B=143)
Fout=920.80 (A=056, B=143)
Fout=920.90 (A=057, B=143)
Fout=921.00 (A=058, B=143)
Fout=921.10 (A=059, B=143)
Fout=921.20 (A=060, B=143)
Fout=921.30 (A=061, B=143)
Fout=921.40 (A=062, B=143)
Fout=921.60 (A=000, B=144)
Fout=921.70 (A=001, B=144)
Fout=921.80 (A=002, B=144)
Fout=921.90 (A=003, B=144)
Fout=922.00 (A=004, B=144)
Fout=922.10 (A=005, B=144)
Fout=922.20 (A=006, B=144)
Fout=922.30 (A=007, B=144)
Fout=922.40 (A=008, B=144)
Fout=922.50 (A=009, B=144)
Fout=922.60 (A=010, B=144)
Fout=922.70 (A=011, B=144)
Fout=922.80 (A=012, B=144)
Fout=922.90 (A=013, B=144)
Fout=923.00 (A=014, B=144)
Fout=923.10 (A=015, B=144)
Fout=923.20 (A=016, B=144)
Fout=923.30 (A=017, B=144)
Fout=923.40 (A=018, B=144)
Fout=923.50 (A=019, B=144)
Fout=923.60 (A=020, B=144)
Fout=923.70 (A=021, B=144)
Fout=923.80 (A=022, B=144)
Fout=923.90 (A=023, B=144)
Fout=924.00 (A=024, B=144)
Fout=924.10 (A=025, B=144)
Fout=924.20 (A=026, B=144)
Fout=924.30 (A=027, B=144)
Fout=924.40 (A=028, B=144)
Fout=924.50 (A=029, B=144)
Fout=924.60 (A=030, B=144)
Fout=924.70 (A=031, B=144)
Fout=924.80 (A=032, B=144)
Fout=924.90 (A=033, B=144)
Fout=925.00 (A=034, B=144)
Fout=925.10 (A=035, B=144)
Fout=925.20 (A=036, B=144)
Fout=925.30 (A=037, B=144)
Fout=925.40 (A=038, B=144)
Fout=925.50 (A=039, B=144)
Fout=925.60 (A=040, B=144)
Fout=925.70 (A=041, B=144)
Fout=925.80 (A=042, B=144)
Fout=925.90 (A=043, B=144)
Fout=926.00 (A=044, B=144)
Fout=926.10 (A=045, B=144)
Fout=926.20 (A=046, B=144)
Fout=926.30 (A=047, B=144)
Fout=926.40 (A=048, B=144)
Fout=926.50 (A=049, B=144)
Fout=926.60 (A=050, B=144)
Fout=926.70 (A=051, B=144)
Fout=926.80 (A=052, B=144)
Fout=926.90 (A=053, B=144)
Fout=927.00 (A=054, B=144)
Fout=927.10 (A=055, B=144)
Fout=927.20 (A=056, B=144)
Fout=927.30 (A=057, B=144)
Fout=927.40 (A=058, B=144)
Fout=927.50 (A=059, B=144)
Fout=927.60 (A=060, B=144)
Fout=927.70 (A=061, B=144)
Fout=927.80 (A=062, B=144)
Fout=928.00 (A=000, B=145)
Fout=928.10 (A=001, B=145)
Fout=928.20 (A=002, B=145)
Fout=928.30 (A=003, B=145)
Fout=928.40 (A=004, B=145)
Fout=928.50 (A=005, B=145)
Fout=928.60 (A=006, B=145)
Fout=928.70 (A=007, B=145)
Fout=928.80 (A=008, B=145)
Fout=928.90 (A=009, B=145)
Fout=929.00 (A=010, B=145)
Fout=929.10 (A=011, B=145)
Fout=929.20 (A=012, B=145)
Fout=929.30 (A=013, B=145)
Fout=929.40 (A=014, B=145)
Fout=929.50 (A=015, B=145)
Fout=929.60 (A=016, B=145)
Fout=929.70 (A=017, B=145)
Fout=929.80 (A=018, B=145)
Fout=929.90 (A=019, B=145)
Fout=930.00 (A=020, B=145)
Fout=930.10 (A=021, B=145)
Fout=930.20 (A=022, B=145)
Fout=930.30 (A=023, B=145)
Fout=930.40 (A=024, B=145)
Fout=930.50 (A=025, B=145)
Fout=930.60 (A=026, B=145)
Fout=930.70 (A=027, B=145)
Fout=930.80 (A=028, B=145)
Fout=930.90 (A=029, B=145)
Fout=931.00 (A=030, B=145)
Fout=931.10 (A=031, B=145)
Fout=931.20 (A=032, B=145)
Fout=931.30 (A=033, B=145)
Fout=931.40 (A=034, B=145)
Fout=931.50 (A=035, B=145)
Fout=931.60 (A=036, B=145)
Fout=931.70 (A=037, B=145)
Fout=931.80 (A=038, B=145)
Fout=931.90 (A=039, B=145)
Fout=932.00 (A=040, B=145)
Fout=932.10 (A=041, B=145)
Fout=932.20 (A=042, B=145)
Fout=932.30 (A=043, B=145)
Fout=932.40 (A=044, B=145)
Fout=932.50 (A=045, B=145)
Fout=932.60 (A=046, B=145)
Fout=932.70 (A=047, B=145)
Fout=932.80 (A=048, B=145)
Fout=932.90 (A=049, B=145)
Fout=933.00 (A=050, B=145)
Fout=933.10 (A=051, B=145)
Fout=933.20 (A=052, B=145)
Fout=933.30 (A=053, B=145)
Fout=933.40 (A=054, B=145)
Fout=933.50 (A=055, B=145)
Fout=933.60 (A=056, B=145)
Fout=933.70 (A=057, B=145)
Fout=933.80 (A=058, B=145)
Fout=933.90 (A=059, B=145)
Fout=934.00 (A=060, B=145)
Fout=934.10 (A=061, B=145)
Fout=934.20 (A=062, B=145)
Fout=934.40 (A=000, B=146)
Fout=934.50 (A=001, B=146)
Fout=934.60 (A=002, B=146)
Fout=934.70 (A=003, B=146)
Fout=934.80 (A=004, B=146)
Fout=934.90 (A=005, B=146)
Fout=935.00 (A=006, B=146)
Fout=935.10 (A=007, B=146)
Fout=935.20 (A=008, B=146)
Fout=935.30 (A=009, B=146)
Fout=935.40 (A=010, B=146)
Fout=935.50 (A=011, B=146)
Fout=935.60 (A=012, B=146)
Fout=935.70 (A=013, B=146)
Fout=935.80 (A=014, B=146)
Fout=935.90 (A=015, B=146)
Fout=936.00 (A=016, B=146)
Fout=936.10 (A=017, B=146)
Fout=936.20 (A=018, B=146)
Fout=936.30 (A=019, B=146)
Fout=936.40 (A=020, B=146)
Fout=936.50 (A=021, B=146)
Fout=936.60 (A=022, B=146)
Fout=936.70 (A=023, B=146)
Fout=936.80 (A=024, B=146)
Fout=936.90 (A=025, B=146)
Fout=937.00 (A=026, B=146)
Fout=937.10 (A=027, B=146)
Fout=937.20 (A=028, B=146)
Fout=937.30 (A=029, B=146)
Fout=937.40 (A=030, B=146)
Fout=937.50 (A=031, B=146)
Fout=937.60 (A=032, B=146)
Fout=937.70 (A=033, B=146)
Fout=937.80 (A=034, B=146)
Fout=937.90 (A=035, B=146)
Fout=938.00 (A=036, B=146)
Fout=938.10 (A=037, B=146)
Fout=938.20 (A=038, B=146)
Fout=938.30 (A=039, B=146)
Fout=938.40 (A=040, B=146)
Fout=938.50 (A=041, B=146)
Fout=938.60 (A=042, B=146)
Fout=938.70 (A=043, B=146)
Fout=938.80 (A=044, B=146)
Fout=938.90 (A=045, B=146)
Fout=939.00 (A=046, B=146)
Fout=939.10 (A=047, B=146)
Fout=939.20 (A=048, B=146)
Fout=939.30 (A=049, B=146)
Fout=939.40 (A=050, B=146)
Fout=939.50 (A=051, B=146)
Fout=939.60 (A=052, B=146)
Fout=939.70 (A=053, B=146)
Fout=939.80 (A=054, B=146)
Fout=939.90 (A=055, B=146)
Fout=940.00 (A=056, B=146)
Fout=940.10 (A=057, B=146)
Fout=940.20 (A=058, B=146)
Fout=940.30 (A=059, B=146)
Fout=940.40 (A=060, B=146)
Fout=940.50 (A=061, B=146)
Fout=940.60 (A=062, B=146)
Fout=940.80 (A=000, B=147)
Fout=940.90 (A=001, B=147)
Fout=941.00 (A=002, B=147)
Fout=941.10 (A=003, B=147)
Fout=941.20 (A=004, B=147)
Fout=941.30 (A=005, B=147)
Fout=941.40 (A=006, B=147)
Fout=941.50 (A=007, B=147)
Fout=941.60 (A=008, B=147)
Fout=941.70 (A=009, B=147)
Fout=941.80 (A=010, B=147)
Fout=941.90 (A=011, B=147)
Fout=942.00 (A=012, B=147)
Fout=942.10 (A=013, B=147)
Fout=942.20 (A=014, B=147)
Fout=942.30 (A=015, B=147)
Fout=942.40 (A=016, B=147)
Fout=942.50 (A=017, B=147)
Fout=942.60 (A=018, B=147)
