PLL Rx Low Band:
Fch=884.00 (Fvco=3536.00, Nint=068, Nfrac=000)
Fch=897.50 (Fvco=3590.00, Nint=069, Nfrac=005)
Fch=897.60 (Fvco=3590.40, Nint=069, Nfrac=006)
Fch=897.70 (Fvco=3590.80, Nint=069, Nfrac=007)
Fch=897.80 (Fvco=3591.20, Nint=069, Nfrac=008)
Fch=897.90 (Fvco=3591.60, Nint=069, Nfrac=009)
Fch=898.00 (Fvco=3592.00, Nint=069, Nfrac=010)
Fch=898.10 (Fvco=3592.40, Nint=069, Nfrac=011)
Fch=898.20 (Fvco=3592.80, Nint=069, Nfrac=012)
Fch=898.30 (Fvco=3593.20, Nint=069, Nfrac=013)
Fch=898.40 (Fvco=3593.60, Nint=069, Nfrac=014)
Fch=898.50 (Fvco=3594.00, Nint=069, Nfrac=015)
Fch=898.60 (Fvco=3594.40, Nint=069, Nfrac=016)
Fch=898.70 (Fvco=3594.80, Nint=069, Nfrac=017)
Fch=898.80 (Fvco=3595.20, Nint=069, Nfrac=018)
Fch=898.90 (Fvco=3595.60, Nint=069, Nfrac=019)
Fch=899.00 (Fvco=3596.00, Nint=069, Nfrac=020)
Fch=899.10 (Fvco=3596.40, Nint=069, Nfrac=021)
Fch=899.20 (Fvco=3596.80, Nint=069, Nfrac=022)
Fch=899.30 (Fvco=3597.20, Nint=069, Nfrac=023)
Fch=899.40 (Fvco=3597.60, Nint=069, Nfrac=024)
Fch=899.50 (Fvco=3598.00, Nint=069, Nfrac=025)
Fch=899.60 (Fvco=3598.40, Nint=069, Nfrac=026)
Fch=899.70 (Fvco=3598.80, Nint=069, Nfrac=027)
Fch=899.80 (Fvco=3599.20, Nint=069, Nfrac=028)
Fch=899.90 (Fvco=3599.60, Nint=069, Nfrac=029)
Fch=900.00 (Fvco=3600.00, Nint=069, Nfrac=030)
Fch=900.10 (Fvco=3600.40, Nint=069, Nfrac=031)
Fch=900.20 (Fvco=3600.80, Nint=069, Nfrac=032)
Fch=900.30 (Fvco=3601.20, Nint=069, Nfrac=033)
Fch=900.40 (Fvco=3601.60, Nint=069, Nfrac=034)
Fch=900.50 (Fvco=3602.00, Nint=069, Nfrac=035)
Fch=900.60 (Fvco=3602.40, Nint=069, Nfrac=036)
Fch=900.70 (Fvco=3602.80, Nint=069, Nfrac=037)
Fch=900.80 (Fvco=3603.20, Nint=069, Nfrac=038)
Fch=900.90 (Fvco=3603.60, Nint=069, Nfrac=039)
Fch=901.00 (Fvco=3604.00, Nint=069, Nfrac=040)
Fch=901.10 (Fvco=3604.40, Nint=069, Nfrac=041)
Fch=901.20 (Fvco=3604.80, Nint=069, Nfrac=042)
Fch=901.30 (Fvco=3605.20, Nint=069, Nfrac=043)
Fch=901.40 (Fvco=3605.60, Nint=069, Nfrac=044)
Fch=901.50 (Fvco=3606.00, Nint=069, Nfrac=045)
Fch=901.60 (Fvco=3606.40, Nint=069, Nfrac=046)
Fch=901.70 (Fvco=3606.80, Nint=069, Nfrac=047)
Fch=901.80 (Fvco=3607.20, Nint=069, Nfrac=048)
Fch=901.90 (Fvco=3607.60, Nint=069, Nfrac=049)
Fch=902.00 (Fvco=3608.00, Nint=069, Nfrac=050)
Fch=902.10 (Fvco=3608.40, Nint=069, Nfrac=051)
Fch=902.20 (Fvco=3608.80, Nint=069, Nfrac=052)
Fch=902.30 (Fvco=3609.20, Nint=069, Nfrac=053)
Fch=902.40 (Fvco=3609.60, Nint=069, Nfrac=054)
Fch=902.50 (Fvco=3610.00, Nint=069, Nfrac=055)
Fch=902.60 (Fvco=3610.40, Nint=069, Nfrac=056)
Fch=902.70 (Fvco=3610.80, Nint=069, Nfrac=057)
Fch=902.80 (Fvco=3611.20, Nint=069, Nfrac=058)
Fch=902.90 (Fvco=3611.60, Nint=069, Nfrac=059)
Fch=903.00 (Fvco=3612.00, Nint=069, Nfrac=060)
Fch=903.10 (Fvco=3612.40, Nint=069, Nfrac=061)
Fch=903.20 (Fvco=3612.80, Nint=069, Nfrac=062)
Fch=903.30 (Fvco=3613.20, Nint=069, Nfrac=063)
Fch=903.40 (Fvco=3613.60, Nint=069, Nfrac=064)
Fch=903.50 (Fvco=3614.00, Nint=069, Nfrac=065)
Fch=903.60 (Fvco=3614.40, Nint=069, Nfrac=066)
Fch=903.70 (Fvco=3614.80, Nint=069, Nfrac=067)
Fch=903.80 (Fvco=3615.20, Nint=069, Nfrac=068)
Fch=903.90 (Fvco=3615.60, Nint=069, Nfrac=069)
Fch=904.00 (Fvco=3616.00, Nint=069, Nfrac=070)
Fch=904.10 (Fvco=3616.40, Nint=069, Nfrac=071)
Fch=904.20 (Fvco=3616.80, Nint=069, Nfrac=072)
Fch=904.30 (Fvco=3617.20, Nint=069, Nfrac=073)
Fch=904.40 (Fvco=3617.60, Nint=069, Nfrac=074)
Fch=904.50 (Fvco=3618.00, Nint=069, Nfrac=075)
Fch=904.60 (Fvco=3618.40, Nint=069, Nfrac=076)
Fch=904.70 (Fvco=3618.80, Nint=069, Nfrac=077)
Fch=904.80 (Fvco=3619.20, Nint=069, Nfrac=078)
Fch=904.90 (Fvco=3619.60, Nint=069, Nfrac=079)
Fch=905.00 (Fvco=3620.00, Nint=069, Nfrac=080)
Fch=905.10 (Fvco=3620.40, Nint=069, Nfrac=081)
Fch=905.20 (Fvco=3620.80, Nint=069, Nfrac=082)
Fch=905.30 (Fvco=3621.20, Nint=069, Nfrac=083)
Fch=905.40 (Fvco=3621.60, Nint=069, Nfrac=084)
Fch=905.50 (Fvco=3622.00, Nint=069, Nfrac=085)
Fch=905.60 (Fvco=3622.40, Nint=069, Nfrac=086)
Fch=905.70 (Fvco=3622.80, Nint=069, Nfrac=087)
Fch=905.80 (Fvco=3623.20, Nint=069, Nfrac=088)
Fch=905.90 (Fvco=3623.60, Nint=069, Nfrac=089)
Fch=906.00 (Fvco=3624.00, Nint=069, Nfrac=090)
Fch=906.10 (Fvco=3624.40, Nint=069, Nfrac=091)
Fch=906.20 (Fvco=3624.80, Nint=069, Nfrac=092)
Fch=906.30 (Fvco=3625.20, Nint=069, Nfrac=093)
Fch=906.40 (Fvco=3625.60, Nint=069, Nfrac=094)
Fch=906.50 (Fvco=3626.00, Nint=069, Nfrac=095)
Fch=906.60 (Fvco=3626.40, Nint=069, Nfrac=096)
Fch=906.70 (Fvco=3626.80, Nint=069, Nfrac=097)
Fch=906.80 (Fvco=3627.20, Nint=069, Nfrac=098)
Fch=906.90 (Fvco=3627.60, Nint=069, Nfrac=099)
Fch=907.00 (Fvco=3628.00, Nint=069, Nfrac=100)
Fch=907.10 (Fvco=3628.40, Nint=069, Nfrac=101)
Fch=907.20 (Fvco=3628.80, Nint=069, Nfrac=102)
Fch=907.30 (Fvco=3629.20, Nint=069, Nfrac=103)
Fch=907.40 (Fvco=3629.60, Nint=069, Nfrac=104)
Fch=907.50 (Fvco=3630.00, Nint=069, Nfrac=105)
Fch=907.60 (Fvco=3630.40, Nint=069, Nfrac=106)
Fch=907.70 (Fvco=3630.80, Nint=069, Nfrac=107)
Fch=907.80 (Fvco=3631.20, Nint=069, Nfrac=108)
Fch=907.90 (Fvco=3631.60, Nint=069, Nfrac=109)
Fch=908.00 (Fvco=3632.00, Nint=069, Nfrac=110)
Fch=908.10 (Fvco=3632.40, Nint=069, Nfrac=111)
Fch=908.20 (Fvco=3632.80, Nint=069, Nfrac=112)
Fch=908.30 (Fvco=3633.20, Nint=069, Nfrac=113)
Fch=908.40 (Fvco=3633.60, Nint=069, Nfrac=114)
Fch=908.50 (Fvco=3634.00, Nint=069, Nfrac=115)
Fch=908.60 (Fvco=3634.40, Nint=069, Nfrac=116)
Fch=908.70 (Fvco=3634.80, Nint=069, Nfrac=117)
Fch=908.80 (Fvco=3635.20, Nint=069, Nfrac=118)
Fch=908.90 (Fvco=3635.60, Nint=069, Nfrac=119)
Fch=909.00 (Fvco=3636.00, Nint=069, Nfrac=120)
Fch=909.10 (Fvco=3636.40, Nint=069, Nfrac=121)
Fch=909.20 (Fvco=3636.80, Nint=069, Nfrac=122)
Fch=909.30 (Fvco=3637.20, Nint=069, Nfrac=123)
Fch=909.40 (Fvco=3637.60, Nint=069, Nfrac=124)
Fch=909.50 (Fvco=3638.00, Nint=069, Nfrac=125)
Fch=909.60 (Fvco=3638.40, Nint=069, Nfrac=126)
Fch=909.70 (Fvco=3638.80, Nint=069, Nfrac=127)
Fch=909.80 (Fvco=3639.20, Nint=069, Nfrac=128)
Fch=909.90 (Fvco=3639.60, Nint=069, Nfrac=129)
Fch=910.00 (Fvco=3640.00, Nint=069, Nfrac=130)
Fch=910.00 (Fvco=3640.00, Nint=070, Nfrac=000)
Fch=910.10 (Fvco=3640.40, Nint=070, Nfrac=001)
Fch=910.20 (Fvco=3640.80, Nint=070, Nfrac=002)
Fch=910.30 (Fvco=3641.20, Nint=070, Nfrac=003)
Fch=910.40 (Fvco=3641.60, Nint=070, Nfrac=004)
Fch=910.50 (Fvco=3642.00, Nint=070, Nfrac=005)
Fch=910.60 (Fvco=3642.40, Nint=070, Nfrac=006)
Fch=910.70 (Fvco=3642.80, Nint=070, Nfrac=007)
Fch=910.80 (Fvco=3643.20, Nint=070, Nfrac=008)
Fch=910.90 (Fvco=3643.60, Nint=070, Nfrac=009)
Fch=911.00 (Fvco=3644.00, Nint=070, Nfrac=010)
Fch=911.10 (Fvco=3644.40, Nint=070, Nfrac=011)
Fch=911.20 (Fvco=3644.80, Nint=070, Nfrac=012)
Fch=911.30 (Fvco=3645.20, Nint=070, Nfrac=013)
Fch=911.40 (Fvco=3645.60, Nint=070, Nfrac=014)
Fch=911.50 (Fvco=3646.00, Nint=070, Nfrac=015)
Fch=911.60 (Fvco=3646.40, Nint=070, Nfrac=016)
Fch=911.70 (Fvco=3646.80, Nint=070, Nfrac=017)
Fch=911.80 (Fvco=3647.20, Nint=070, Nfrac=018)
Fch=911.90 (Fvco=3647.60, Nint=070, Nfrac=019)
Fch=912.00 (Fvco=3648.00, Nint=070, Nfrac=020)
Fch=912.10 (Fvco=3648.40, Nint=070, Nfrac=021)
Fch=912.20 (Fvco=3648.80, Nint=070, Nfrac=022)
Fch=912.30 (Fvco=3649.20, Nint=070, Nfrac=023)
Fch=912.40 (Fvco=3649.60, Nint=070, Nfrac=024)
Fch=912.50 (Fvco=3650.00, Nint=070, Nfrac=025)
Fch=912.60 (Fvco=3650.40, Nint=070, Nfrac=026)
Fch=912.70 (Fvco=3650.80, Nint=070, Nfrac=027)
Fch=912.80 (Fvco=3651.20, Nint=070, Nfrac=028)
Fch=912.90 (Fvco=3651.60, Nint=070, Nfrac=029)
Fch=913.00 (Fvco=3652.00, Nint=070, Nfrac=030)
Fch=913.10 (Fvco=3652.40, Nint=070, Nfrac=031)
Fch=913.20 (Fvco=3652.80, Nint=070, Nfrac=032)
Fch=913.30 (Fvco=3653.20, Nint=070, Nfrac=033)
Fch=913.40 (Fvco=3653.60, Nint=070, Nfrac=034)
Fch=913.50 (Fvco=3654.00, Nint=070, Nfrac=035)
Fch=913.60 (Fvco=3654.40, Nint=070, Nfrac=036)
Fch=913.70 (Fvco=3654.80, Nint=070, Nfrac=037)
Fch=913.80 (Fvco=3655.20, Nint=070, Nfrac=038)
Fch=913.90 (Fvco=3655.60, Nint=070, Nfrac=039)
Fch=914.00 (Fvco=3656.00, Nint=070, Nfrac=040)
Fch=914.10 (Fvco=3656.40, Nint=070, Nfrac=041)
Fch=914.20 (Fvco=3656.80, Nint=070, Nfrac=042)
Fch=914.30 (Fvco=3657.20, Nint=070, Nfrac=043)
Fch=914.40 (Fvco=3657.60, Nint=070, Nfrac=044)
Fch=914.50 (Fvco=3658.00, Nint=070, Nfrac=045)
Fch=914.60 (Fvco=3658.40, Nint=070, Nfrac=046)
Fch=914.70 (Fvco=3658.80, Nint=070, Nfrac=047)
Fch=914.80 (Fvco=3659.20, Nint=070, Nfrac=048)
Fch=914.90 (Fvco=3659.60, Nint=070, Nfrac=049)
Fch=915.00 (Fvco=3660.00, Nint=070, Nfrac=050)
Fch=915.10 (Fvco=3660.40, Nint=070, Nfrac=051)
Fch=915.20 (Fvco=3660.80, Nint=070, Nfrac=052)
Fch=915.30 (Fvco=3661.20, Nint=070, Nfrac=053)
Fch=915.40 (Fvco=3661.60, Nint=070, Nfrac=054)
Fch=915.50 (Fvco=3662.00, Nint=070, Nfrac=055)
Fch=915.60 (Fvco=3662.40, Nint=070, Nfrac=056)
Fch=915.70 (Fvco=3662.80, Nint=070, Nfrac=057)
Fch=915.80 (Fvco=3663.20, Nint=070, Nfrac=058)
Fch=915.90 (Fvco=3663.60, Nint=070, Nfrac=059)
Fch=916.00 (Fvco=3664.00, Nint=070, Nfrac=060)
Fch=916.10 (Fvco=3664.40, Nint=070, Nfrac=061)
Fch=916.20 (Fvco=3664.80, Nint=070, Nfrac=062)
Fch=916.30 (Fvco=3665.20, Nint=070, Nfrac=063)
Fch=916.40 (Fvco=3665.60, Nint=070, Nfrac=064)
Fch=916.50 (Fvco=3666.00, Nint=070, Nfrac=065)
Fch=916.60 (Fvco=3666.40, Nint=070, Nfrac=066)
Fch=916.70 (Fvco=3666.80, Nint=070, Nfrac=067)
Fch=916.80 (Fvco=3667.20, Nint=070, Nfrac=068)
Fch=916.90 (Fvco=3667.60, Nint=070, Nfrac=069)
Fch=917.00 (Fvco=3668.00, Nint=070, Nfrac=070)
Fch=917.10 (Fvco=3668.40, Nint=070, Nfrac=071)
Fch=917.20 (Fvco=3668.80, Nint=070, Nfrac=072)
Fch=917.30 (Fvco=3669.20, Nint=070, Nfrac=073)
Fch=917.40 (Fvco=3669.60, Nint=070, Nfrac=074)
Fch=917.50 (Fvco=3670.00, Nint=070, Nfrac=075)
Fch=917.60 (Fvco=3670.40, Nint=070, Nfrac=076)
Fch=917.70 (Fvco=3670.80, Nint=070, Nfrac=077)
Fch=917.80 (Fvco=3671.20, Nint=070, Nfrac=078)
Fch=917.90 (Fvco=3671.60, Nint=070, Nfrac=079)
Fch=918.00 (Fvco=3672.00, Nint=070, Nfrac=080)
Fch=918.10 (Fvco=3672.40, Nint=070, Nfrac=081)
Fch=918.20 (Fvco=3672.80, Nint=070, Nfrac=082)
Fch=918.30 (Fvco=3673.20, Nint=070, Nfrac=083)
Fch=918.40 (Fvco=3673.60, Nint=070, Nfrac=084)
Fch=918.50 (Fvco=3674.00, Nint=070, Nfrac=085)
Fch=918.60 (Fvco=3674.40, Nint=070, Nfrac=086)
Fch=918.70 (Fvco=3674.80, Nint=070, Nfrac=087)
Fch=918.80 (Fvco=3675.20, Nint=070, Nfrac=088)
Fch=918.90 (Fvco=3675.60, Nint=070, Nfrac=089)
Fch=919.00 (Fvco=3676.00, Nint=070, Nfrac=090)
Fch=919.10 (Fvco=3676.40, Nint=070, Nfrac=091)
Fch=919.20 (Fvco=3676.80, Nint=070, Nfrac=092)
Fch=919.30 (Fvco=3677.20, Nint=070, Nfrac=093)
Fch=919.40 (Fvco=3677.60, Nint=070, Nfrac=094)
Fch=919.50 (Fvco=3678.00, Nint=070, Nfrac=095)
Fch=919.60 (Fvco=3678.40, Nint=070, Nfrac=096)
Fch=919.70 (Fvco=3678.80, Nint=070, Nfrac=097)
Fch=919.80 (Fvco=3679.20, Nint=070, Nfrac=098)
Fch=919.90 (Fvco=3679.60, Nint=070, Nfrac=099)
Fch=920.00 (Fvco=3680.00, Nint=070, Nfrac=100)
Fch=920.10 (Fvco=3680.40, Nint=070, Nfrac=101)
Fch=920.20 (Fvco=3680.80, Nint=070, Nfrac=102)
Fch=920.30 (Fvco=3681.20, Nint=070, Nfrac=103)
Fch=920.40 (Fvco=3681.60, Nint=070, Nfrac=104)
Fch=920.50 (Fvco=3682.00, Nint=070, Nfrac=105)
Fch=920.60 (Fvco=3682.40, Nint=070, Nfrac=106)
Fch=920.70 (Fvco=3682.80, Nint=070, Nfrac=107)
Fch=920.80 (Fvco=3683.20, Nint=070, Nfrac=108)
Fch=920.90 (Fvco=3683.60, Nint=070, Nfrac=109)
Fch=921.00 (Fvco=3684.00, Nint=070, Nfrac=110)
Fch=921.10 (Fvco=3684.40, Nint=070, Nfrac=111)
Fch=921.20 (Fvco=3684.80, Nint=070, Nfrac=112)
Fch=921.30 (Fvco=3685.20, Nint=070, Nfrac=113)
Fch=921.40 (Fvco=3685.60, Nint=070, Nfrac=114)
Fch=921.50 (Fvco=3686.00, Nint=070, Nfrac=115)
Fch=921.60 (Fvco=3686.40, Nint=070, Nfrac=116)
Fch=921.70 (Fvco=3686.80, Nint=070, Nfrac=117)
Fch=921.80 (Fvco=3687.20, Nint=070, Nfrac=118)
Fch=921.90 (Fvco=3687.60, Nint=070, Nfrac=119)
Fch=922.00 (Fvco=3688.00, Nint=070, Nfrac=120)
Fch=922.10 (Fvco=3688.40, Nint=070, Nfrac=121)
Fch=922.20 (Fvco=3688.80, Nint=070, Nfrac=122)
Fch=922.30 (Fvco=3689.20, Nint=070, Nfrac=123)
Fch=922.40 (Fvco=3689.60, Nint=070, Nfrac=124)
Fch=922.50 (Fvco=3690.00, Nint=070, Nfrac=125)
Fch=922.60 (Fvco=3690.40, Nint=070, Nfrac=126)
Fch=922.70 (Fvco=3690.80, Nint=070, Nfrac=127)
Fch=922.80 (Fvco=3691.20, Nint=070, Nfrac=128)
Fch=922.90 (Fvco=3691.60, Nint=070, Nfrac=129)
Fch=923.00 (Fvco=3692.00, Nint=070, Nfrac=130)
Fch=923.00 (Fvco=3692.00, Nint=071, Nfrac=000)
Fch=923.10 (Fvco=3692.40, Nint=071, Nfrac=001)
Fch=923.20 (Fvco=3692.80, Nint=071, Nfrac=002)
Fch=923.30 (Fvco=3693.20, Nint=071, Nfrac=003)
Fch=923.40 (Fvco=3693.60, Nint=071, Nfrac=004)
Fch=923.50 (Fvco=3694.00, Nint=071, Nfrac=005)
Fch=923.60 (Fvco=3694.40, Nint=071, Nfrac=006)
Fch=923.70 (Fvco=3694.80, Nint=071, Nfrac=007)
Fch=923.80 (Fvco=3695.20, Nint=071, Nfrac=008)
Fch=923.90 (Fvco=3695.60, Nint=071, Nfrac=009)
Fch=924.00 (Fvco=3696.00, Nint=071, Nfrac=010)
Fch=924.10 (Fvco=3696.40, Nint=071, Nfrac=011)
Fch=924.20 (Fvco=3696.80, Nint=071, Nfrac=012)
Fch=924.30 (Fvco=3697.20, Nint=071, Nfrac=013)
Fch=924.40 (Fvco=3697.60, Nint=071, Nfrac=014)
Fch=924.50 (Fvco=3698.00, Nint=071, Nfrac=015)
Fch=924.60 (Fvco=3698.40, Nint=071, Nfrac=016)
